16,372,2032
18,347,2034
20,293,2036
22,376,2038
23,376,2038
24,293,2039
26,1,2040
28,376,2041
29,293,2042
30,374,2043
31,376,2044
32,373,2045
33,293,2046
34,374,2047
35,375,2047
36,376,2048
37,373,2049
38,293,2050
39,375,2051
40,376,2052
41,373,2053
42,293,2054
43,375,2055
44,376,2056
45,373,2057
46,363,2058
47,293,2058
48,375,2059
49,376,2060
50,347,2060
51,373,2061
52,382,2061
53,363,2062
54,375,2063
55,377,2063
56,347,2064
57,382,2065
58,363,2066
59,377,2067
60,347,2068
61,382,2069
63,363,2070
64,377,2071
65,347,2072
66,337,2072
68,363,2074
69,381,2075
70,337,2076
72,363,2078
76,337,2084
77,381,2079
78,337,2080
89,363,2082
90,555,555
92,777,5
101,13,1
102,7,2
103,3,3
106,13,6
107,1000,7
108,16,8
109,3,9
110,2,10
111,12,11
112,13,12
113,16,13
114,3,14
115,2,15
116,12,16
117,2,4
118,12,5
120,18,92
121,11,93
122,23,94
123,8,95
124,18,97
125,11,98
126,23,99
127,8,100
128,8,100
129,41,91
130,41,96
133,41,101
134,20,102
135,11,103
136,35,104
137,23,105
138,8,106
139,41,107
140,35,108
141,23,109
142,8,110
