11,347,2034
13,293,2036
15,376,2038
16,376,2038
17,293,2039
19,1,2040
20,376,2041
21,293,2042
22,374,2043
23,376,2044
24,373,2045
25,293,2046
26,374,2047
27,375,2047
28,376,2048
29,373,2049
30,293,2050
31,375,2051
32,376,2052
36,373,2053
37,293,2054
38,375,2055
39,376,2056
40,375,2059
41,373,2057
42,363,2058
43,293,2058
44,376,2060
45,347,2060
46,373,2061
47,382,2061
48,363,2062
49,375,2063
50,377,2063
51,347,2064
52,382,2065
53,363,2066
54,377,2067
55,347,2068
56,382,2069
58,363,2070
59,377,2071
60,347,2072
61,337,2072
63,363,2074
64,381,2075
65,337,2076
67,363,2078
69,363,2082
70,381,2083
71,337,2084
73,363,2086
74,381,2087
75,337,2088
76,376,2088
78,363,2090
79,403,2091
80,381,2092
81,376,2093
83,402,2095
84,381,2096
85,381,2096
86,376,2097
88,391,2099
89,402,2100
90,381,2101
91,376,2102
92,391,2103
93,402,2104
95,383,2106
96,381,2107
97,376,2108
98,391,2109
99,383,2110
100,381,2111
101,376,2112
104,381,2079
105,337,2080
108,407,2165
110,410,2169
112,555,555
113,666,666
114,777,5
125,13,1
126,7,2
131,2,4
132,3,3
134,12,5
135,13,6
136,1000,7
137,16,8
138,3,9
139,2,10
140,12,11
141,13,12
142,16,13
143,3,14
144,2,15
145,12,16
147,18,92
148,11,93
149,23,94
150,8,95
151,18,97
152,11,98
153,23,99
154,8,100
155,8,100
156,41,91
157,41,96
159,41,101
160,20,102
161,11,103
162,35,104
163,23,105
164,8,106
166,41,107
167,35,108
168,23,109
169,8,110
